X.AU,X,Y.AU,Y,D
Katund I ri,P-1514,Durres,P-14961,0.28740698834273676
Katund I ri,P-1514,Durres,P-1497,0.040077019844760683
Katund I ri,P-1514,Durres,P-14971,0.21006449040255515
Katund I ri,P-1514,Durres,P-1498,0.0839252635482499
Katund I ri,P-1514,Durres,P-14981,0.1857732108305151
Katund I ri,P-1514,Durres,P-1499,0.6950750869440956
Katund I ri,P-1514,Durres,P-14991,0.5272128618135942
Katund I ri,P-1514,Durres,P-1500,0.2687578378389004
Katund I ri,P-1514,Durres,P-15001,0.1635585070744133
Katund I ri,P-1514,Durres,P-1501,0.08927022513520852
Katund I ri,P-1514,Durres,P-15011,0.10544899785246681
Katund I ri,P-1514,Durres,P-1504,0.06208738051265447
Katund I ri,P-1514,Durres,P-15041,0.11890544887555772
Katund I ri,P-1514,Xhafzotaj,P-1395,0.6611752173217134
Katund I ri,P-1514,Xhafzotaj,P-13951,0.6653280037711562
Katund I ri,P-1514,Xhafzotaj,P-1396,0.10915869124892336
Katund I ri,P-1514,Xhafzotaj,P-1397,0.014763487846887744
Katund I ri,P-1514,Xhafzotaj,P-1398,0.3715424156578858
Katund I ri,P-1514,Xhafzotaj,P-1400,0.10779728151914206
Katund I ri,P-1514,Xhafzotaj,P-14001,0.19608584960616338
Katund I ri,P-1514,Xhafzotaj,P-1401,0.29658704672175107
Katund I ri,P-1514,Xhafzotaj,P-1402,0.03685755888789288
Katund I ri,P-1514,Xhafzotaj,P-14021,0.23934367094476752
Katund I ri,P-1514,Xhafzotaj,P-14022,0.0756115964521796
Katund I ri,P-1514,Xhafzotaj,P-1403,3.966502976877383e-4
Katund I ri,P-1514,Xhafzotaj,P-1404,0.06351905175696776
Katund I ri,P-1514,Xhafzotaj,P-14041,0.015018282595858124
Katund I ri,P-1514,Xhafzotaj,P-1405,0.07325388113107462
Katund I ri,P-1514,Xhafzotaj,P-14051,0.041228188198014853
Katund I ri,P-1514,Xhafzotaj,P-1406,0.04089105858517314
Katund I ri,P-1514,Xhafzotaj,P-14061,0.08636859385781248
Katund I ri,P-1514,Xhafzotaj,P-1407,0.010860139557813899
Katund I ri,P-1514,Xhafzotaj,P-14071,0.001832525588476829
Katund I ri,P-1514,Rashbull,P-1369,0.007822930950035788
Katund I ri,P-1514,Rashbull,P-13691,0.05876540559156721
Katund I ri,P-1514,Rashbull,P-1370,0.06259594267883944
Katund I ri,P-1514,Rashbull,P-13701,0.21925798346564715
Katund I ri,P-1514,Rashbull,P-1371,0.0021129521256124913
Katund I ri,P-1514,Rashbull,P-13711,0.00856447052125834
Katund I ri,P-1514,Rashbull,P-1372,0.09336602519715995
Katund I ri,P-1514,Rashbull,P-13721,0.09850065935270796
Katund I ri,P-1514,Rashbull,P-13722,0.18593638340602742
Katund I ri,P-1514,Rashbull,P-1373,0.11411871027085765
Katund I ri,P-1514,Rashbull,P-13731,0.03384097565818571
Katund I ri,P-1514,Rashbull,P-1374,0.13888277185217518
Katund I ri,P-1514,Rashbull,P-13741,0.10498082597054409
Katund I ri,P-1514,Rashbull,P-13742,0.072866069782669865
Katund I ri,P-1514,Rashbull,P-1375,0.10034369290494062
Katund I ri,P-1514,Rashbull,P-13751,0.12205691438932781
Katund I ri,P-1514,Rashbull,P-13752,0.05775893649295109
Katund I ri,P-1514,Rashbull,P-1376,0.25335626185032667
Katund I ri,P-1514,Rashbull,P-1377,0.14145422831501372
Katund I ri,P-1514,Rashbull,P-13771,0.20853153374235028
Katund I ri,P-1514,Rashbull,P-1378,0.22254175810384402
Katund I ri,P-1514,Rashbull,P-13781,0.14319620126267973
Katund I ri,P-1514,Rashbull,P-13782,0.18513998603482812
Katund I ri,P-1514,Rashbull,P-1379,0.3563676332383005
Katund I ri,P-1514,Rashbull,P-13791,0.3432090517032565
Katund I ri,P-1514,Rashbull,P-1380,0.09560641401698108
Katund I ri,P-1514,Rashbull,P-13801,0.25501632681044883
