"PollingStation","No","Party","Votes"
"0055","11","LN","0"
"0055","12","PS","58"
"0055","13","Other","0"
"0056","1","PSD","26"
"0056","2","PBK","0"
"0056","3","PLDSH","1"
"0056","4","BD","2"
"0056","5","ABEOK","0"
"0056","6","LSI","4"
"0056","7","NTH","0"
"0056","8","LRE","0"
"0056","9","PDAN","113"
"0056","10","ADR","0"
"0056","11","LN","0"
"0056","12","PS","69"
"0056","13","Other","0"
"0057","1","PSD","9"
"0057","2","PBK","2"
"0057","3","PLDSH","4"
"0057","4","BD","2"
"0057","5","ABEOK","0"
"0057","6","LSI","2"
"0057","7","NTH","0"
"0057","8","LRE","1"
"0057","9","PDAN","130"
"0057","10","ADR","1"
"0057","11","LN","0"
"0057","12","PS","119"
"0057","13","Other","0"
"0058","1","PSD","19"
"0058","2","PBK","0"
"0058","3","PLDSH","0"
"0058","4","BD","3"
"0058","5","ABEOK","0"
"0058","6","LSI","1"
"0058","7","NTH","0"
"0058","8","LRE","0"
"0058","9","PDAN","122"
"0058","10","ADR","0"
"0058","11","LN","2"
"0058","12","PS","118"
"0058","13","Other","0"
"0059","1","PSD","29"
"0059","2","PBK","2"
"0059","3","PLDSH","2"
"0059","4","BD","4"
"0059","5","ABEOK","0"
"0059","6","LSI","8"
"0059","7","NTH","0"
"0059","8","LRE","0"
"0059","9","PDAN","165"
"0059","10","ADR","0"
"0059","11","LN","0"
"0059","12","PS","149"
"0059","13","Other","0"
"0061","1","PSD","20"
"0061","2","PBK","0"
"0061","3","PLDSH","0"
"0061","4","BD","0"
"0061","5","ABEOK","0"
"0061","6","LSI","16"
"0061","7","NTH","0"
"0061","8","LRE","0"
"0061","9","PDAN","206"
"0061","10","ADR","1"
"0061","11","LN","0"
"0061","12","PS","109"
"0061","13","Other","0"
"0062","1","PSD","13"
"0062","2","PBK","1"
"0062","3","PLDSH","0"
"0062","4","BD","1"
"0062","5","ABEOK","0"
"0062","6","LSI","1"
"0062","7","NTH","0"
"0062","8","LRE","0"
"0062","9","PDAN","106"
"0062","10","ADR","2"
"0062","11","LN","0"
"0062","12","PS","65"
"0062","13","Other","0"
"0064","1","PSD","18"
"0064","2","PBK","0"
"0064","3","PLDSH","0"
"0064","4","BD","0"
"0064","5","ABEOK","0"
"0064","6","LSI","2"
"0064","7","NTH","1"
"0064","8","LRE","0"
"0064","9","PDAN","81"
"0064","10","ADR","1"
"0064","11","LN","0"
"0064","12","PS","80"
"0064","13","Other","0"
"00641","1","PSD","15"
"00641","2","PBK","1"
"00641","3","PLDSH","0"
"00641","4","BD","0"
"00641","5","ABEOK","0"
"00641","6","LSI","1"
"00641","7","NTH","1"
"00641","8","LRE","1"
"00641","9","PDAN","30"
"00641","10","ADR","0"
"00641","11","LN","0"
"00641","12","PS","37"
"00641","13","Other","3"
"0065","1","PSD","9"
"0065","2","PBK","1"
"0065","3","PLDSH","1"
"0065","4","BD","0"
"0065","5","ABEOK","0"
"0065","6","LSI","4"
"0065","7","NTH","0"
"0065","8","LRE","0"
"0065","9","PDAN","87"
"0065","10","ADR","0"
"0065","11","LN","0"
"0065","12","PS","74"
"0065","13","Other","0"
"0066","1","PSD","21"
"0066","2","PBK","0"
"0066","3","PLDSH","2"
"0066","4","BD","0"
"0066","5","ABEOK","0"
"0066","6","LSI","13"
"0066","7","NTH","0"
"0066","8","LRE","0"
"0066","9","PDAN","88"
"0066","10","ADR","0"
"0066","11","LN","2"
"0066","12","PS","76"
"0066","13","Other","0"
"0069","1","PSD","10"
